% Model:              kaiguan.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 3 2025, 22:05
% Dimension:          3
% Nodes:              78141
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
3.2,0.3,2,2752.3843585847394,257.6482314123484,-720.8218031744739,2856.849023043314
3.3,0.3,2,2538.5524682822133,230.39632443000355,-724.3042793257127,2649.8958073067915
3.4,0.3,2,2344.1871913856285,206.45498669319798,-723.0260959629315,2461.8293980758144
3.5,0.3,2,2167.248123449318,185.37147530845078,-717.908893109153,2290.5720227178695
3.6,0.3,2,2005.94085708296,166.76170645192414,-709.7179497340546,2134.316695579217
3.7,0.3,2,1858.683366082631,150.29916047315157,-699.0886408552728,1991.4865354212332
3.8,0.3,2,1724.077100812237,135.70549857775228,-686.5481996166832,1860.7004762417496
3.9,0.3,2,1600.882380411785,122.7426593721693,-672.5337794744971,1740.7446225328135
4,0.3,2,1487.9975557464154,111.20625581564389,-657.4075524114658,1630.5484498191017
4.1,0.3,2,1384.4413779450042,100.92011871192145,-641.4693604118588,1529.1650465774744
4.2,0.3,2,1289.3380272040126,91.73184106238568,-624.9672810225509,1435.7546383027116
4.3,0.3,2,1201.9043181384004,83.5091757674071,-608.1063777237956,1349.5707239805704
4.4,0.3,2,1121.4386820384611,76.13713464720195,-591.0558705528044,1269.9482757023534
4.5,0.3,2,1047.3116141046946,69.51563671313747,-573.9549605155107,1196.2935833174795
4.6,0.3,2,978.9573504742116,63.55756348990377,-556.9175488053645,1128.0754469855449
4.7,0.3,2,915.866598025842,58.18710095131338,-540.0360894531647,1064.8175158253239
4.8,0.3,2,857.5801790800767,53.33827901791963,-523.3847920657024,1006.0916340598745
4.9,0.3,2,803.6834773044977,48.9536547746646,-507.02235068137395,951.512089307599
5,0.3,2,753.8015856197751,44.9831173556327,-490.99432419481093,900.7306688025211
5.1,0.3,2,707.5950656483415,41.38281472620342,-475.33524476620914,853.432428023154
5.2,0.3,2,664.7562336859633,38.114212492504166,-460.0704924363482,809.332071172825
5.3,0.3,2,625.0058923390384,35.14329337760911,-445.21795100643214,768.1708406508985
5.4,0.3,2,588.0904325364536,32.4398971225711,-430.78945097969563,729.7138170828504
5.5,0.3,2,553.7792406251403,29.977189454526908,-416.7920054137974,693.7475441483052
5.6,0.3,2,521.8623614445701,27.73123980761079,-403.2288484756871,660.0779122170344
5.7,0.3,2,492.14838932261887,25.680683108044477,-390.10029016795795,628.5282579064118
5.8,0.3,2,464.46257996042505,23.806441404343303,-377.40440217478135,598.9376575376913
5.9,0.3,2,438.6451903130694,22.091485160816035,-365.1375491789956,571.1594055269009
6,0.3,2,414.5500550756901,20.520619769050725,-353.29477866498576,545.0596707067081
0,0.4,2,-2.1469874375463043,85521.1621223641,56675.371745944896,102596.13510220688
0.1,0.4,2,19977.135537452355,79948.99089959323,54056.03930332446,98554.46451230682
0.2,0.4,2,33338.7044629665,66712.68426298139,47589.983075534554,88469.5311730029
0.3,0.4,2,38974.85049841044,51998.80973818645,39856.42087372472,76232.8634541891
0.4,0.4,2,39407.05185958603,39436.644100391655,32570.29717162896,64567.70781136094
0.5,0.4,2,37259.330997695244,29834.182582412042,26348.632741487658,54521.43288746461
0.6,0.4,2,34131.75212237659,22778.219957147925,21239.8783201559,46205.586658050335
0.7,0.4,2,30809.749942356848,17626.253130604477,17102.26972943885,39400.67411648159
0.8,0.4,2,27632.313744471096,13833.873984109672,13761.379336466802,33827.45029592458
0.9,0.4,2,24725.048033352876,11003.8381466929,11060.174879697968,29235.935466130082
1,0.4,2,22118.182234986856,8859.66836265389,8869.750362258179,25424.00795242712
